,Subject no.,scores_train,scores_test
0,1.0,0.5652173913043478,0.5652173913043478
1,2.0,0.5652173913043478,0.5652173913043478
2,3.0,0.5652173913043478,0.5652173913043478
3,4.0,0.5652173913043478,0.5652173913043478
4,5.0,0.5652173913043478,0.5652173913043478
5,6.0,0.5652173913043478,0.5652173913043478
6,7.0,0.5652173913043478,0.5652173913043478
7,8.0,0.5652173913043478,0.5652173913043478
8,9.0,0.5652173913043478,0.5652173913043478
9,10.0,0.5652173913043478,0.5652173913043478
10,11.0,0.5652173913043478,0.5652173913043478
11,12.0,0.5652173913043478,0.5652173913043478
12,13.0,0.5652173913043478,0.5652173913043478
13,14.0,0.5652173913043478,0.5652173913043478
14,15.0,0.5652173913043478,0.5652173913043478
