,Subject no.,scores_train,scores_test
0,1.0,0.8850931677018633,0.5927536231884057
1,2.0,0.8851966873706004,0.5927536231884057
2,3.0,0.8892339544513458,0.5942028985507246
3,4.0,0.8893374741200828,0.5826086956521739
4,5.0,0.8855072463768116,0.5434782608695652
5,6.0,0.8815734989648033,0.5768115942028985
6,7.0,0.8875776397515528,0.5521739130434783
7,8.0,0.8840579710144928,0.5753623188405798
8,9.0,0.8847826086956522,0.5449275362318841
9,10.0,0.8861283643892339,0.6101449275362318
10,11.0,0.8875776397515528,0.5159420289855072
11,12.0,0.8864389233954452,0.5579710144927537
12,13.0,0.8885093167701863,0.5623188405797102
13,14.0,0.8858178053830228,0.5565217391304348
14,15.0,0.8891304347826087,0.5434782608695652
